lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.08,-34.91,-66.46645850762033,-52.966855945606,-68.9933571209613,-77.21347161197318,-79.9331852361554,-84.53315896618946
-8.08,-34.90977477477477,-64.27343169468608,-53.65997563861569,-68.83673640420382,-76.99015081437864,-78.51004270267583,-83.92985227036783
-8.08,-34.909549549549546,-64.2733820151508,-53.65984246075097,-68.83673259330943,-76.99010842038793,-78.51001819936911,-83.92978052800171
-8.08,-34.909324324324324,-64.27332806968201,-53.65969813123054,-68.83672839123983,-76.99006232052399,-78.50999159892902,-83.92970291199941
-8.08,-34.90909909909909,-64.27326946153593,-53.65954162375915,-68.8367237588312,-76.99001216771464,-78.50996270674722,-83.92961888712117
-8.08,-34.90887387387387,-64.27320575179668,-53.6593718038002,-68.8367186524971,-76.98995757781789,-78.50993130758344,-83.92952786210546
-8.08,-34.908648648648644,-64.27313645437954,-53.65918741585525,-68.83671302366766,-76.9898981252095,-78.5098971631301,-83.9294291831392
-8.08,-34.90842342342342,-64.61974707906171,-52.10616988796611,-68.82331770002511,-76.5566527637283,-77.58347155247398,-83.46959105350236
-8.08,-34.90819819819819,-64.49322475496616,-51.61293582089048,-67.49040541797659,-76.25006020404325,-77.21019156582449,-83.60295002938155
-8.08,-34.90797297297297,-64.2533443240737,-50.686646146848155,-68.44333356540135,-77.42320550189858,-77.41002850727342,-83.7165010375173
-8.08,-34.907747747747734,-65.23334034862025,-52.75655792344891,-67.92663991268346,-78.38670479154334,-77.09663179173891,-83.30344860113938
-8.08,-34.90752252252252,-65.23322948884365,-52.75673568698717,-67.92664450501879,-78.38676290717,-77.09668206405115,-83.30334001601204
-8.08,-34.90729729729728,-64.81996233267272,-53.523361516624476,-66.4066843910408,-78.87332432323684,-77.7499389033104,-82.7766848669942
-8.08,-34.90707207207207,-64.81999324566233,-53.52340147580096,-66.40653391882599,-78.8732608806326,-77.74993110046648,-82.7766372220499
-8.08,-34.906846846846854,-64.82002752441899,-53.52344565711623,-66.40636729196392,-78.87319067562946,-77.74992256381819,-82.7765844631344
-8.08,-34.906621621621625,-67.82626511966477,-54.68329297802789,-67.03282209809582,-78.29329707823776,-77.26329666902508,-81.85677494884078
-8.08,-34.906396396396396,-67.82738659713509,-54.68367010164654,-67.03314911448177,-78.29341405230605,-77.26300026213647,-81.85684359777551
-8.08,-34.906171171171174,-67.86842388722401,-53.29002781506888,-66.16666996823022,-78.5535534045996,-76.86305370539748,-82.30321656031691
-8.08,-34.905945945945945,-67.8695794711431,-53.28902819984456,-66.16650022687307,-78.55381898738273,-76.86298286227102,-82.30303976528626
-8.08,-34.90572072072072,-68.10875663189523,-49.32501227476548,-64.66331183305388,-77.43008548810396,-77.03460710584477,-81.44698638504542
-8.08,-34.90549549549549,-68.10979067309322,-49.32242773381623,-64.66386071229945,-77.42981948031442,-77.03501935424262,-81.4464707227295
-8.08,-34.905270270270265,-68.11094703140253,-49.319505350472845,-64.66447539640141,-77.42951474157172,-77.03548572719264,-81.44588787115298
-8.08,-34.905045045045036,-68.70999919982033,-44.989270540986,-65.91159914588538,-76.30239855101817,-76.46734889298861,-81.80433674609108
-8.08,-34.90481981981981,-68.71014000213107,-44.98615217875778,-65.91275305792682,-76.30168199883184,-76.46695652252073,-81.80407966944409
-8.08,-34.90459459459459,-68.71028305185408,-44.98258150525655,-65.91406488886199,-76.30085380858061,-76.46650383785283,-81.80379350545766
-8.08,-34.90436936936938,-69.17243243574768,-40.80256425558245,-67.20917557061935,-74.85144822412671,-76.6321342492871,-81.91630708309754
-8.08,-34.90414414414414,-69.17151363913709,-40.801142233942805,-67.2086123383219,-74.85119630724509,-76.63234104268945,-81.91617950753292
-8.08,-34.90391891891892,-69.17044473245343,-40.79943170344756,-67.20797766596527,-74.85087009036712,-76.63257787930279,-81.91604569368653
-8.08,-34.90369369369369,-69.16920114120938,-40.79738135390201,-67.20726136350272,-74.85045499772339,-76.63284939503548,-81.91590567344106
-8.08,-34.90346846846847,-69.16775419905218,-40.79493067330315,-67.20645178939778,-74.84993363604566,-76.63316094996142,-81.91575965262533
-8.08,-34.90324324324324,-69.16607059162425,-40.792008504796236,-67.20553572542391,-74.84928529728668,-76.63351871240631,-81.91560808374645
-8.08,-34.903018018018024,-69.16411182630486,-40.788531560286835,-67.20449829870411,-74.848485418807,-76.63392973086673,-81.91545176353979
-8.08,-34.90279279279279,-69.16183380763225,-40.78440302940909,-67.20332299453423,-74.84750503177686,-76.63440197662497,-81.9152919623786
-8.08,-34.90256756756757,-69.15918665051778,-40.77951152804031,-67.20199182658244,-74.84631025737913,-76.63494432981462,-81.91513059351237
-8.08,-34.90234234234234,-69.15611493942609,-40.773730789279675,-67.2004857625314,-74.84486195552036,-76.63556646742227,-81.91497043010625
-8.08,-34.902117117117115,-69.15255874653796,-40.7669207269827,-67.19878554340572,-74.8431156979756,-76.63627859273093,-81.91481537595803
-8.08,-34.90189189189189,-67.05442856791596,-35.015979137953785,-65.92813422191979,-73.04973827068953,-77.16570233327364,-81.57732298957188
-8.08,-34.901666666666664,-67.05441185462625,-35.015909254158906,-65.92822346687807,-73.04966387340468,-77.1656533253419,-81.57730639529912
-8.08,-34.90144144144144,-67.0544129796688,-35.01558102352912,-65.92837948195765,-73.0494360890977,-77.16558785748249,-81.57731218666754
-8.08,-34.90121621621621,-67.05443750446771,-35.01492366206169,-65.92861832660476,-73.04901393432048,-77.16550279437351,-81.57734722295235
-8.08,-34.900990990990984,-67.05449182892811,-35.01385794659875,-65.9289573549249,-73.04835182152905,-77.16539500268703,-81.57741934556222
-8.08,-34.90076576576576,-67.05458287940029,-35.01230120192219,-65.9294137855674,-73.04740257790186,-77.1652617541468,-81.57753695560952
-8.08,-34.90054054054054,-67.05471747814774,-35.01017638657743,-65.93000232060604,-73.04612284370113,-77.16510132523553,-81.5777081887784
-8.08,-34.90031531531531,-67.05490132390155,-35.00742587613668,-65.93073176622345,-73.04448115727493,-77.16491376773952,-81.57793961089179
-8.08,-34.90009009009009,-67.05513761198914,-35.004029110233816,-65.93160099102808,-73.0424681808381,-77.16470172484024,-81.5782344920142
-8.08,-34.89986486486486,-67.05542550608526,-35.00002086037155,-65.93259513366378,-73.04010711631865,-77.1644710404004,-81.5785909544242
