lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.08,-34.91,-87.84654664955201,-83.89114132152005,-43.08091041471749,-83.89114078751797,-90.44531521810453,-88.52349024778914
-8.08,-34.90977477477477,-87.71499404773468,-83.6894094491189,-42.661506135169944,-83.68940890825644,-90.33555322369995,-88.41672234096623
-8.08,-34.909549549549546,-87.58281196368338,-83.48507225914767,-42.27382952771086,-83.4850717112611,-90.22536031281632,-88.30998314832334
-8.08,-34.909324324324324,-87.45000954680629,-83.27806805898896,-41.92351379717053,-83.27806750391747,-90.11474206448304,-88.2032970639473
-8.08,-34.90909909909909,-87.3165969185304,-83.06833327032493,-41.61621996158793,-83.0683327078921,-90.00370453562005,-88.09668953467428
-8.08,-34.90887387387387,-87.18258522998639,-82.85580237697988,-41.35740145079299,-82.85580180701177,-89.89225428441316,-87.99018708850386
-8.08,-34.908648648648644,-87.04798672242063,-82.64040787363908,-41.15203354767314,-82.64040729596772,-89.78039839456875,-87.88381736258165
-8.08,-34.90842342342342,-86.91281479064659,-82.4220802165739,-41.004329393820015,-82.42207963097903,-89.66814450062003,-87.77760913084185
-8.08,-34.90819819819819,-86.77708404936087,-82.20074777626726,-40.91747197336994,-82.20074718257246,-89.55550081414032,-87.67159233087315
-8.08,-34.90797297297297,-86.64081040264048,-81.97633679366137,-40.89339498480193,-81.97633619165956,-89.44247615103077,-87.56579809013363
-8.08,-34.907747747747734,-86.50401111646926,-81.74877134011442,-40.932642750429125,-81.74877072960368,-89.32907995978968,-87.46025875113438
-8.08,-34.90752252252252,-86.36670489459382,-81.51797328294927,-41.03432983448886,-81.51797266371233,-89.21532235087386,-87.35500789557466
-8.08,-34.90729729729728,-86.22891195746524,-81.2838622573351,-41.19620651953727,-81.2838616291738,-89.10121412703757,-87.25008036707464
-8.08,-34.90707207207207,-86.09065412467245,-81.04635564670991,-41.41482021186057,-81.04635500938917,-88.98676681489587,-87.14551229251393
-8.08,-34.906846846846854,-85.95195490046828,-80.8053685729424,-41.685749271772266,-80.805367926239,-88.8719926974056,-87.04134110149133
